payment_id,contract_id,payment_date,amount
P0067,C0396,2024-12-28,1465.00
P0068,C0413,2024-12-28,835.00
P0069,C0431,2024-12-28,1060.00
P0070,C0436,2024-12-28,585.00
P0071,C0448,2024-12-28,1055.00
P0072,C0039,2024-12-29,470.00
P0073,C0053,2024-12-29,1650.00
P0074,C0101,2024-12-29,435.00
P0075,C0115,2024-12-29,615.00
P0076,C0129,2024-12-29,1630.00
P0077,C0133,2024-12-29,485.00
P0078,C0141,2024-12-29,360.00
P0079,C0151,2024-12-29,1670.00
P0080,C0152,2024-12-29,1850.00
P0081,C0170,2024-12-29,760.00
P0082,C0178,2024-12-29,830.00
P0083,C0217,2024-12-29,645.00
P0084,C0226,2024-12-29,620.00
P0085,C0239,2024-12-29,1510.00
P0086,C0240,2024-12-29,410.00
P0087,C0265,2024-12-29,1000.00
P0088,C0268,2024-12-29,860.00
P0089,C0278,2024-12-29,710.00
P0090,C0290,2024-12-29,895.00
P0091,C0332,2024-12-29,710.00
P0092,C0339,2024-12-29,700.00
P0093,C0359,2024-12-29,1310.00
P0094,C0377,2024-12-29,1235.00
P0095,C0439,2024-12-29,675.00
P0096,C0013,2024-12-30,910.00
P0097,C0016,2024-12-30,550.00
P0098,C0027,2024-12-30,845.00
P0099,C0069,2024-12-30,1090.00
P0100,C0087,2024-12-30,585.00
P0101,C0147,2024-12-30,610.00
P0102,C0166,2024-12-30,495.00
P0103,C0177,2024-12-30,1760.00
P0104,C0187,2024-12-30,1365.00
P0105,C0197,2024-12-30,705.00
P0106,C0210,2024-12-30,1575.00
P0107,C0216,2024-12-30,1070.00
P0108,C0281,2024-12-30,1160.00
P0109,C0287,2024-12-30,645.00
P0110,C0295,2024-12-30,1235.00
P0111,C0296,2024-12-30,875.00
P0112,C0341,2024-12-30,980.00
P0113,C0363,2024-12-30,1745.00
P0114,C0380,2024-12-30,1170.00
P0115,C0391,2024-12-30,825.00
P0116,C0401,2024-12-30,945.00
P0117,C0414,2024-12-30,1020.00
P0118,C0447,2024-12-30,675.00
P0119,C0003,2024-12-31,470.00
P0120,C0048,2024-12-31,1860.00
P0121,C0051,2024-12-31,1465.00
P0122,C0064,2024-12-31,525.00
P0123,C0082,2024-12-31,865.00
P0124,C0089,2024-12-31,755.00
P0125,C0093,2024-12-31,720.00
P0126,C0106,2024-12-31,525.00
P0127,C0142,2024-12-31,615.00
P0128,C0223,2024-12-31,525.00
P0129,C0233,2024-12-31,380.00
P0130,C0236,2024-12-31,665.00
P0131,C0242,2024-12-31,720.00
P0132,C0266,2024-12-31,1575.00
P0133,C0277,2024-12-31,340.00
P0134,C0298,2024-12-31,680.00
P0135,C0360,2024-12-31,535.00
P0136,C0421,2024-12-31,420.00
P0137,C0030,2025-01-01,615.00
P0138,C0060,2025-01-01,725.00
P0139,C0077,2025-01-01,1865.00
P0140,C0092,2025-01-01,370.00
P0141,C0094,2025-01-01,910.00
P0142,C0199,2025-01-01,575.00
P0143,C0221,2025-01-01,345.00
P0144,C0243,2025-01-01,1535.00
P0145,C0261,2025-01-01,1810.00
P0146,C0263,2025-01-01,600.00
P0147,C0299,2025-01-01,1670.00
P0148,C0312,2025-01-01,925.00
P0149,C0350,2025-01-01,1305.00
P0150,C0369,2025-01-01,1175.00
P0151,C0375,2025-01-01,1460.00
P0152,C0411,2025-01-01,1610.00
P0153,C0420,2025-01-01,1680.00
P0154,C0425,2025-01-01,1465.00
P0155,C0014,2025-01-02,1185.00
P0156,C0017,2025-01-02,1715.00
P0157,C0023,2025-01-02,845.00
P0158,C0032,2025-01-02,385.00
P0159,C0041,2025-01-02,595.00
P0160,C0054,2025-01-02,1140.00
P0161,C0059,2025-01-02,585.00
P0162,C0080,2025-01-02,1750.00
P0163,C0108,2025-01-02,500.00
P0164,C0112,2025-01-02,365.00
P0165,C0126,2025-01-02,965.00
P0166,C0146,2025-01-02,1575.00
P0167,C0167,2025-01-02,385.00
P0168,C0179,2025-01-02,880.00
P0169,C0246,2025-01-02,1015.00
P0170,C0307,2025-01-02,470.00
P0171,C0315,2025-01-02,490.00
P0172,C0342,2025-01-02,1420.00
P0173,C0361,2025-01-02,475.00
P0174,C0392,2025-01-02,845.00
P0175,C0394,2025-01-02,350.00
P0176,C0019,2025-01-03,1285.00
P0177,C0076,2025-01-03,970.00
P0178,C0120,2025-01-03,915.00
P0179,C0204,2025-01-03,1235.00
P0180,C0224,2025-01-03,1130.00
P0181,C0247,2025-01-03,325.00
P0182,C0270,2025-01-03,400.00
P0183,C0275,2025-01-03,885.00
P0184,C0280,2025-01-03,435.00
P0185,C0289,2025-01-03,570.00
P0186,C0313,2025-01-03,825.00
P0187,C0344,2025-01-03,440.00
P0188,C0374,2025-01-03,1805.00
P0189,C0389,2025-01-03,465.00
P0190,C0432,2025-01-03,1570.00
P0191,C0440,2025-01-03,460.00
P0192,C0031,2025-01-04,1505.00
P0193,C0107,2025-01-04,1130.00
P0194,C0148,2025-01-04,1040.00
P0195,C0175,2025-01-04,325.00
P0196,C0194,2025-01-04,310.00
P0197,C0321,2025-01-04,1275.00
P0198,C0338,2025-01-04,1220.00
P0199,C0357,2025-01-04,1835.00
P0200,C0365,2025-01-04,1100.00
P0201,C0371,2025-01-04,1075.00
P0202,C0412,2025-01-04,1290.00
P0203,C0417,2025-01-04,1670.00
P0204,C0428,2025-01-04,695.00
P0205,C0438,2025-01-04,1795.00
P0206,C0012,2025-01-05,1845.00
P0207,C0028,2025-01-05,1295.00
P0208,C0110,2025-01-05,1020.00
P0209,C0111,2025-01-05,1785.00
P0210,C0114,2025-01-05,1325.00
P0211,C0123,2025-01-05,960.00
P0212,C0132,2025-01-05,1585.00
P0213,C0144,2025-01-05,1605.00
P0214,C0160,2025-01-05,490.00
P0215,C0182,2025-01-05,1300.00
P0216,C0193,2025-01-05,1195.00
P0217,C0269,2025-01-05,1240.00
P0218,C0276,2025-01-05,1235.00
P0219,C0407,2025-01-05,1520.00
P0220,C0434,2025-01-05,925.00
P0221,C0128,2025-01-07,2020.00
P0222,C0011,2025-01-09,1130.00
P0223,C0066,2025-01-09,1200.00
P0224,C0347,2025-01-09,1145.00
P0225,C0398,2025-01-09,840.00
P0226,C0445,2025-01-09,790.00
P0227,C0008,2025-01-10,540.00
P0228,C0068,2025-01-10,1680.00
P0229,C0379,2025-01-10,1205.00
P0230,C0006,2025-01-11,650.00
P0231,C0070,2025-01-11,490.00
P0232,C0310,2025-01-11,535.00
P0233,C0326,2025-01-11,990.00
P0234,C0255,2025-01-12,1340.00
P0235,C0334,2025-01-12,1080.00
P0236,C0393,2025-01-12,1595.00
P0237,C0415,2025-01-12,1075.00
P0238,C0323,2025-01-13,1100.00
P0239,C0422,2025-01-13,530.00
P0240,C0033,2025-01-15,555.00
P0241,C0131,2025-01-15,405.00
P0242,C0171,2025-01-15,1230.00
P0243,C0253,2025-01-15,860.00
P0244,C0353,2025-01-15,960.00
P0245,C0442,2025-01-15,1570.00
P0246,C0383,2025-01-16,1200.00
P0247,C0156,2025-01-17,860.00
P0248,C0183,2025-01-17,960.00
P0249,C0010,2025-01-18,1010.00
P0250,C0190,2025-01-18,870.00
P0251,C0252,2025-01-18,840.00
P0252,C0349,2025-01-18,460.00
P0253,C0073,2025-01-19,1235.00
P0254,C0096,2025-01-19,1990.00
P0255,C0164,2025-01-19,1150.00
P0256,C0206,2025-01-19,930.00
P0257,C0292,2025-01-19,775.00
P0258,C0300,2025-01-19,395.00
P0259,C0320,2025-01-19,330.00
P0260,C0029,2025-01-20,1390.00
P0261,C0228,2025-01-20,1010.00
P0262,C0238,2025-01-20,530.00
P0263,C0400,2025-01-20,585.00
P0264,C0011,2025-01-25,1130.00
P0265,C0108,2025-01-25,500.00
P0266,C0112,2025-01-25,365.00
P0267,C0121,2025-01-25,1255.00
P0268,C0171,2025-01-25,1230.00
P0269,C0199,2025-01-25,575.00
P0270,C0217,2025-01-25,645.00
P0271,C0224,2025-01-25,1130.00
P0272,C0225,2025-01-25,1460.00
P0273,C0235,2025-01-25,1125.00
P0274,C0246,2025-01-25,1015.00
P0275,C0277,2025-01-25,340.00
P0276,C0299,2025-01-25,1670.00
P0277,C0305,2025-01-25,1540.00
P0278,C0307,2025-01-25,470.00
P0279,C0324,2025-01-25,425.00
P0280,C0342,2025-01-25,1420.00
P0281,C0449,2025-01-25,910.00
P0282,C0012,2025-01-26,1845.00
P0283,C0023,2025-01-26,845.00
P0284,C0039,2025-01-26,470.00
P0285,C0069,2025-01-26,1090.00
P0286,C0101,2025-01-26,435.00
P0287,C0106,2025-01-26,525.00
P0288,C0114,2025-01-26,1325.00
P0289,C0239,2025-01-26,1510.00
P0290,C0266,2025-01-26,1575.00
P0291,C0268,2025-01-26,860.00
P0292,C0269,2025-01-26,1240.00
P0293,C0321,2025-01-26,1275.00
P0294,C0326,2025-01-26,990.00
P0295,C0332,2025-01-26,710.00
P0296,C0355,2025-01-26,605.00
P0297,C0356,2025-01-26,510.00
P0298,C0363,2025-01-26,1745.00
P0299,C0408,2025-01-26,730.00
P0300,C0419,2025-01-26,680.00
P0301,C0432,2025-01-26,1570.00
P0302,C0445,2025-01-26,790.00
P0303,C0010,2025-01-27,1010.00
P0304,C0015,2025-01-27,1025.00
P0305,C0032,2025-01-27,385.00
P0306,C0060,2025-01-27,725.00
P0307,C0080,2025-01-27,1750.00
P0308,C0099,2025-01-27,280.00
P0309,C0129,2025-01-27,1630.00
P0310,C0133,2025-01-27,485.00
P0311,C0152,2025-01-27,1850.00
P0312,C0167,2025-01-27,385.00
P0313,C0173,2025-01-27,435.00
P0314,C0198,2025-01-27,1165.00
P0315,C0238,2025-01-27,530.00
P0316,C0265,2025-01-27,1000.00
P0317,C0296,2025-01-27,875.00
P0318,C0300,2025-01-27,395.00
P0319,C0309,2025-01-27,820.00
P0320,C0315,2025-01-27,490.00
P0321,C0317,2025-01-27,695.00
P0322,C0359,2025-01-27,1310.00
P0323,C0377,2025-01-27,1235.00
P0324,C0415,2025-01-27,1075.00
P0325,C0431,2025-01-27,1060.00
P0326,C0436,2025-01-27,585.00
P0327,C0017,2025-01-28,1715.00
P0328,C0018,2025-01-28,760.00
P0329,C0067,2025-01-28,300.00
P0330,C0075,2025-01-28,520.00
P0331,C0086,2025-01-28,410.00
P0332,C0105,2025-01-28,1460.00
P0333,C0107,2025-01-28,1130.00
P0334,C0126,2025-01-28,965.00
P0335,C0131,2025-01-28,405.00
P0336,C0145,2025-01-28,1810.00
P0337,C0148,2025-01-28,1040.00
P0338,C0160,2025-01-28,490.00
P0339,C0169,2025-01-28,885.00
P0340,C0194,2025-01-28,310.00
P0341,C0223,2025-01-28,525.00
P0342,C0276,2025-01-28,1235.00
P0343,C0278,2025-01-28,710.00
P0344,C0284,2025-01-28,490.00
P0345,C0292,2025-01-28,775.00
P0346,C0334,2025-01-28,1080.00
P0347,C0357,2025-01-28,1835.00
P0348,C0371,2025-01-28,1075.00
P0349,C0443,2025-01-28,2650.00
P0350,C0003,2025-01-29,470.00
P0351,C0019,2025-01-29,1285.00
P0352,C0028,2025-01-29,1295.00
P0353,C0031,2025-01-29,1505.00
P0354,C0053,2025-01-29,1650.00
P0355,C0058,2025-01-29,1910.00
P0356,C0061,2025-01-29,1660.00
P0357,C0077,2025-01-29,1865.00
P0358,C0087,2025-01-29,585.00
P0359,C0123,2025-01-29,960.00
P0360,C0174,2025-01-29,1110.00
P0361,C0178,2025-01-29,830.00
P0362,C0196,2025-01-29,1135.00
P0363,C0228,2025-01-29,1010.00
P0364,C0252,2025-01-29,840.00
P0365,C0253,2025-01-29,860.00
P0366,C0264,2025-01-29,940.00
P0367,C0310,2025-01-29,535.00
P0368,C0352,2025-01-29,1310.00
P0369,C0369,2025-01-29,1175.00
P0370,C0375,2025-01-29,1460.00
P0371,C0027,2025-01-30,845.00
P0372,C0030,2025-01-30,615.00
P0373,C0094,2025-01-30,910.00
P0374,C0146,2025-01-30,1575.00
P0375,C0151,2025-01-30,1670.00
P0376,C0170,2025-01-30,760.00
P0377,C0206,2025-01-30,930.00
P0378,C0241,2025-01-30,1710.00
P0379,C0290,2025-01-30,895.00
P0380,C0353,2025-01-30,960.00
P0381,C0411,2025-01-30,1610.00
P0382,C0427,2025-01-30,345.00
P0383,C0006,2025-01-31,650.00
P0384,C0008,2025-01-31,540.00
P0385,C0037,2025-01-31,450.00
P0386,C0082,2025-01-31,865.00
P0387,C0088,2025-01-31,1470.00
P0388,C0130,2025-01-31,815.00
P0389,C0132,2025-01-31,1585.00
P0390,C0142,2025-01-31,615.00
P0391,C0192,2025-01-31,740.00
P0392,C0226,2025-01-31,620.00
P0393,C0250,2025-01-31,1430.00
P0394,C0255,2025-01-31,1340.00
P0395,C0281,2025-01-31,1160.00
P0396,C0289,2025-01-31,570.00
P0397,C0331,2025-01-31,380.00
P0398,C0338,2025-01-31,1220.00
P0399,C0364,2025-01-31,1095.00
P0400,C0380,2025-01-31,1170.00
P0401,C0383,2025-01-31,1200.00
P0402,C0389,2025-01-31,465.00
P0403,C0413,2025-01-31,835.00
P0404,C0422,2025-01-31,530.00
P0405,C0425,2025-01-31,1465.00
P0406,C0434,2025-01-31,925.00
P0407,C0440,2025-01-31,460.00
P0408,C0016,2025-02-01,550.00
P0409,C0048,2025-02-01,1860.00
P0410,C0093,2025-02-01,720.00
P0411,C0095,2025-02-01,810.00
P0412,C0117,2025-02-01,1340.00
P0413,C0161,2025-02-01,1125.00
P0414,C0179,2025-02-01,880.00
P0415,C0190,2025-02-01,870.00
P0416,C0236,2025-02-01,665.00
P0417,C0242,2025-02-01,720.00
P0418,C0251,2025-02-01,1205.00
P0419,C0297,2025-02-01,815.00
P0420,C0339,2025-02-01,700.00
P0421,C0344,2025-02-01,440.00
P0422,C0370,2025-02-01,1140.00
P0423,C0414,2025-02-01,1020.00
P0424,C0447,2025-02-01,675.00
P0425,C0042,2025-02-02,1275.00
P0426,C0056,2025-02-02,2940.00
P0427,C0064,2025-02-02,525.00
P0428,C0070,2025-02-02,490.00
P0429,C0159,2025-02-02,975.00
P0430,C0243,2025-02-02,1535.00
P0431,C0263,2025-02-02,600.00
P0432,C0270,2025-02-02,400.00
P0433,C0271,2025-02-02,2820.00
P0434,C0298,2025-02-02,680.00
P0435,C0311,2025-02-02,570.00
P0436,C0360,2025-02-02,535.00
P0437,C0381,2025-02-02,975.00
P0438,C0407,2025-02-02,1520.00
P0439,C0442,2025-02-02,1570.00
P0440,C0448,2025-02-02,1055.00
P0441,C0041,2025-02-03,595.00
P0442,C0047,2025-02-03,475.00
P0443,C0124,2025-02-03,950.00
P0444,C0166,2025-02-03,495.00
P0445,C0222,2025-02-03,1280.00
P0446,C0347,2025-02-03,1145.00
P0447,C0387,2025-02-03,1310.00
P0448,C0439,2025-02-03,675.00
P0449,C0044,2025-02-04,1290.00
P0450,C0092,2025-02-04,370.00
P0451,C0110,2025-02-04,1020.00
P0452,C0120,2025-02-04,915.00
P0453,C0125,2025-02-04,1270.00
P0454,C0128,2025-02-04,2020.00
P0455,C0181,2025-02-04,1050.00
P0456,C0249,2025-02-04,1255.00
P0457,C0259,2025-02-04,1485.00
P0458,C0306,2025-02-04,980.00
P0459,C0320,2025-02-04,330.00
P0460,C0350,2025-02-04,1305.00
P0461,C0379,2025-02-04,1205.00
P0462,C0390,2025-02-04,870.00
P0463,C0393,2025-02-04,1595.00
P0464,C0418,2025-02-04,365.00
P0465,C0441,2025-02-04,2310.00
P0466,C0066,2025-02-05,1200.00
P0467,C0068,2025-02-05,1680.00
P0468,C0089,2025-02-05,755.00
P0469,C0182,2025-02-05,1300.00
P0470,C0183,2025-02-05,960.00
P0471,C0214,2025-02-05,975.00
P0472,C0220,2025-02-05,1710.00
P0473,C0341,2025-02-05,980.00
P0474,C0349,2025-02-05,460.00
P0475,C0361,2025-02-05,475.00
P0476,C0417,2025-02-05,1670.00
P0477,C0421,2025-02-05,420.00
P0478,C0428,2025-02-05,695.00
P0479,C0392,2025-02-06,845.00
P0480,C0401,2025-02-06,945.00
P0481,C0420,2025-02-06,1680.00
P0482,C0287,2025-02-07,645.00
P0483,C0348,2025-02-07,1150.00
P0484,C0396,2025-02-07,1465.00
P0485,C0059,2025-02-08,585.00
P0486,C0147,2025-02-08,610.00
P0487,C0280,2025-02-08,435.00
P0488,C0096,2025-02-09,1990.00
P0489,C0197,2025-02-10,705.00
P0490,C0275,2025-02-10,885.00
P0491,C0295,2025-02-10,1235.00
P0492,C0365,2025-02-10,1100.00
P0493,C0054,2025-02-11,1140.00
P0494,C0176,2025-02-11,1615.00
P0495,C0210,2025-02-11,1575.00
P0496,C0325,2025-02-11,1960.00
P0497,C0164,2025-02-12,1150.00
P0498,C0261,2025-02-12,1810.00
P0499,C0156,2025-02-13,860.00
P0500,C0204,2025-02-13,1235.00
P0501,C0240,2025-02-13,410.00
P0502,C0267,2025-02-13,720.00
P0503,C0374,2025-02-13,1805.00
P0504,C0033,2025-02-14,555.00
P0505,C0045,2025-02-14,1650.00
P0506,C0193,2025-02-14,1195.00
P0507,C0216,2025-02-14,1070.00
P0508,C0351,2025-02-14,1105.00
P0509,C0438,2025-02-14,1795.00
P0510,C0185,2025-02-15,625.00
P0511,C0312,2025-02-15,925.00
P0512,C0319,2025-02-15,1590.00
P0513,C0029,2025-02-16,1390.00
P0514,C0175,2025-02-16,325.00
P0515,C0186,2025-02-16,1155.00
P0516,C0400,2025-02-16,585.00
P0517,C0412,2025-02-16,1290.00
P0518,C0076,2025-02-17,970.00
P0519,C0144,2025-02-17,1605.00
P0520,C0229,2025-02-17,670.00
P0521,C0177,2025-02-18,1760.00
P0522,C0187,2025-02-18,1365.00
P0523,C0122,2025-02-19,500.00
P0524,C0073,2025-02-20,1235.00
P0525,C0111,2025-02-20,1785.00
P0526,C0010,2025-02-25,1010.00
P0527,C0042,2025-02-25,1275.00
P0528,C0066,2025-02-25,1200.00
P0529,C0080,2025-02-25,1750.00
P0530,C0105,2025-02-25,730.00
P0531,C0126,2025-02-25,965.00
P0532,C0147,2025-02-25,610.00
P0533,C0148,2025-02-25,1040.00
P0534,C0159,2025-02-25,975.00
P0535,C0198,2025-02-25,1165.00
P0536,C0220,2025-02-25,1710.00
P0537,C0310,2025-02-25,535.00
P0538,C0315,2025-02-25,490.00
P0539,C0324,2025-02-25,425.00
P0540,C0334,2025-02-25,1080.00
P0541,C0342,2025-02-25,1420.00
P0542,C0380,2025-02-25,1170.00
P0543,C0383,2025-02-25,1200.00
P0544,C0390,2025-02-25,435.00
P0545,C0394,2025-02-25,700.00
P0546,C0431,2025-02-25,1060.00
P0547,C0432,2025-02-25,1570.00
P0548,C0443,2025-02-25,1325.00
P0549,C0445,2025-02-25,790.00
P0550,C0447,2025-02-25,675.00
P0551,C0448,2025-02-25,1055.00
P0552,C0003,2025-02-26,470.00
P0553,C0030,2025-02-26,615.00
P0554,C0051,2025-02-26,2930.00
P0555,C0058,2025-02-26,955.00
P0556,C0059,2025-02-26,585.00
P0557,C0060,2025-02-26,725.00
P0558,C0070,2025-02-26,490.00
P0559,C0073,2025-02-26,1235.00
P0560,C0092,2025-02-26,370.00
P0561,C0099,2025-02-26,280.00
P0562,C0106,2025-02-26,525.00
P0563,C0133,2025-02-26,485.00
P0564,C0151,2025-02-26,1670.00
P0565,C0173,2025-02-26,435.00
P0566,C0179,2025-02-26,880.00
P0567,C0192,2025-02-26,740.00
P0568,C0196,2025-02-26,1135.00
P0569,C0214,2025-02-26,975.00
P0570,C0229,2025-02-26,335.00
P0571,C0243,2025-02-26,1535.00
P0572,C0259,2025-02-26,1485.00
P0573,C0267,2025-02-26,720.00
P0574,C0268,2025-02-26,860.00
P0575,C0270,2025-02-26,400.00
P0576,C0277,2025-02-26,340.00
P0577,C0284,2025-02-26,490.00
P0578,C0299,2025-02-26,1670.00
P0579,C0347,2025-02-26,1145.00
P0580,C0351,2025-02-26,1105.00
P0581,C0352,2025-02-26,1310.00
P0582,C0355,2025-02-26,605.00
P0583,C0439,2025-02-26,675.00
P0584,C0008,2025-02-27,540.00
P0585,C0012,2025-02-27,1845.00
P0586,C0019,2025-02-27,1285.00
P0587,C0077,2025-02-27,1865.00
P0588,C0087,2025-02-27,585.00
P0589,C0089,2025-02-27,755.00
P0590,C0094,2025-02-27,910.00
P0591,C0110,2025-02-27,1020.00
P0592,C0117,2025-02-27,1340.00
P0593,C0141,2025-02-27,720.00
P0594,C0145,2025-02-27,1810.00
P0595,C0170,2025-02-27,760.00
P0596,C0185,2025-02-27,625.00
P0597,C0194,2025-02-27,310.00
P0598,C0236,2025-02-27,665.00
P0599,C0240,2025-02-27,410.00
P0600,C0242,2025-02-27,720.00
P0601,C0246,2025-02-27,1015.00
P0602,C0252,2025-02-27,840.00
P0603,C0253,2025-02-27,860.00
P0604,C0323,2025-02-27,2200.00
P0605,C0326,2025-02-27,990.00
P0606,C0363,2025-02-27,1745.00
P0607,C0381,2025-02-27,975.00
P0608,C0401,2025-02-27,945.00
P0609,C0408,2025-02-27,730.00
P0610,C0411,2025-02-27,1610.00
P0611,C0420,2025-02-27,1680.00
P0612,C0421,2025-02-27,420.00
P0613,C0449,2025-02-27,910.00
P0614,C0013,2025-02-28,1820.00
P0615,C0015,2025-02-28,1025.00
P0616,C0023,2025-02-28,845.00
P0617,C0039,2025-02-28,470.00
P0618,C0047,2025-02-28,475.00
P0619,C0064,2025-02-28,525.00
P0620,C0068,2025-02-28,1680.00
P0621,C0093,2025-02-28,720.00
P0622,C0096,2025-02-28,1990.00
P0623,C0107,2025-02-28,1130.00
P0624,C0108,2025-02-28,500.00
P0625,C0112,2025-02-28,365.00
P0626,C0144,2025-02-28,1605.00
P0627,C0163,2025-02-28,4050.00
P0628,C0176,2025-02-28,1615.00
P0629,C0182,2025-02-28,1300.00
P0630,C0183,2025-02-28,960.00
P0631,C0186,2025-02-28,1155.00
P0632,C0187,2025-02-28,1365.00
P0633,C0190,2025-02-28,870.00
P0634,C0193,2025-02-28,1195.00
P0635,C0217,2025-02-28,645.00
P0636,C0241,2025-02-28,1710.00
P0637,C0261,2025-02-28,1810.00
P0638,C0275,2025-02-28,885.00
P0639,C0276,2025-02-28,1235.00
P0640,C0278,2025-02-28,710.00
P0641,C0280,2025-02-28,435.00
P0642,C0292,2025-02-28,775.00
P0643,C0307,2025-02-28,470.00
P0644,C0319,2025-02-28,1590.00
P0645,C0327,2025-02-28,580.00
P0646,C0331,2025-02-28,380.00
P0647,C0339,2025-02-28,700.00
P0648,C0350,2025-02-28,1305.00
P0649,C0356,2025-02-28,510.00
P0650,C0361,2025-02-28,475.00
P0651,C0365,2025-02-28,1100.00
P0652,C0377,2025-02-28,1235.00
P0653,C0398,2025-02-28,1680.00
P0654,C0006,2025-03-01,650.00
P0655,C0033,2025-03-01,555.00
P0656,C0053,2025-03-01,1650.00
P0657,C0067,2025-03-01,300.00
P0658,C0069,2025-03-01,1090.00
P0659,C0111,2025-03-01,1785.00
P0660,C0115,2025-03-01,1230.00
P0661,C0124,2025-03-01,950.00
P0662,C0125,2025-03-01,1270.00
P0663,C0156,2025-03-01,860.00
P0664,C0175,2025-03-01,325.00
P0665,C0228,2025-03-01,1010.00
P0666,C0238,2025-03-01,530.00
P0667,C0247,2025-03-01,650.00
P0668,C0269,2025-03-01,1240.00
P0669,C0289,2025-03-01,570.00
P0670,C0317,2025-03-01,695.00
P0671,C0369,2025-03-01,1175.00
P0672,C0392,2025-03-01,845.00
P0673,C0396,2025-03-01,1465.00
P0674,C0442,2025-03-01,1570.00
P0675,C0002,2025-03-02,1355.00
P0676,C0014,2025-03-02,2370.00
P0677,C0048,2025-03-02,1860.00
P0678,C0120,2025-03-02,915.00
P0679,C0121,2025-03-02,1255.00
P0680,C0131,2025-03-02,405.00
P0681,C0161,2025-03-02,1125.00
P0682,C0169,2025-03-02,885.00
P0683,C0174,2025-03-02,1110.00
P0684,C0181,2025-03-02,1050.00
P0685,C0226,2025-03-02,620.00
P0686,C0249,2025-03-02,1255.00
P0687,C0251,2025-03-02,1205.00
P0688,C0263,2025-03-02,600.00
P0689,C0290,2025-03-02,895.00
P0690,C0306,2025-03-02,980.00
P0691,C0391,2025-03-02,1650.00
P0692,C0041,2025-03-03,595.00
P0693,C0132,2025-03-03,1585.00
P0694,C0142,2025-03-03,615.00
P0695,C0204,2025-03-03,1235.00
P0696,C0239,2025-03-03,1510.00
P0697,C0255,2025-03-03,1340.00
P0698,C0265,2025-03-03,1000.00
P0699,C0266,2025-03-03,1575.00
P0700,C0281,2025-03-03,1160.00
P0701,C0321,2025-03-03,1275.00
P0702,C0362,2025-03-03,1085.00
P0703,C0400,2025-03-03,585.00
P0704,C0418,2025-03-03,365.00
P0705,C0027,2025-03-04,845.00
P0706,C0088,2025-03-04,735.00
P0707,C0123,2025-03-04,960.00
P0708,C0128,2025-03-04,2020.00
P0709,C0164,2025-03-04,1150.00
P0710,C0199,2025-03-04,575.00
P0711,C0221,2025-03-04,690.00
P0712,C0223,2025-03-04,525.00
P0713,C0224,2025-03-04,1130.00
P0714,C0233,2025-03-04,760.00
P0715,C0264,2025-03-04,940.00
P0716,C0287,2025-03-04,645.00
P0717,C0312,2025-03-04,925.00
